Month,Migrations
10/1/2011,31323
11/1/2011,28601
12/1/2011,24360
1/1/2012,30758
2/1/2012,36990
3/1/2012,48520
4/1/2012,46660
5/1/2012,42995
6/1/2012,36794
7/1/2012,32801
8/1/2012,33686
9/1/2012,32375
10/1/2012,34836
11/1/2012,33153
12/1/2012,29075
1/1/2013,32481
2/1/2013,40632
3/1/2013,54009
4/1/2013,54761
5/1/2013,50481
6/1/2013,40785
7/1/2013,39993
8/1/2013,41110
9/1/2013,38182
10/1/2013,41828
11/1/2013,38685
12/1/2013,36695
1/1/2014,35181
2/1/2014,42399
3/1/2014,57405
4/1/2014,59119
5/1/2014,68804
6/1/2014,66541
7/1/2014,48819
8/1/2014,39758
9/1/2014,34003
10/1/2014,35895
11/1/2014,33023
12/1/2014,34238
1/1/2015,30178
2/1/2015,32550
3/1/2015,39159
4/1/2015,38296
5/1/2015,40681
6/1/2015,38616
7/1/2015,38610
8/1/2015,42414
9/1/2015,41165
10/1/2015,45507
11/1/2015,45752
12/1/2015,48737
1/1/2016,33654
2/1/2016,38309
3/1/2016,46117
4/1/2016,48502
5/1/2016,55442
6/1/2016,45722
7/1/2016,46966
8/1/2016,51961
9/1/2016,56535
10/1/2016,66708
11/1/2016,63361
12/1/2016,58412
1/1/2017,42463
2/1/2017,23555
3/1/2017,16588
4/1/2017,15766
5/1/2017,19940
6/1/2017,21657
7/1/2017,25019
8/1/2017,30567
9/1/2017,31155
10/1/2017,34871
11/1/2017,39051
12/1/2017,40519
1/1/2018,35905
2/1/2018,36751
3/1/2018,50347
4/1/2018,51168
5/1/2018,51862
6/1/2018,43180
7/1/2018,40149
8/1/2018,46719
9/1/2018,50568
10/1/2018,60781
11/1/2018,62469
12/1/2018,60794
1/1/2019,58317
2/1/2019,76545
3/1/2019,103731
4/1/2019,109415
5/1/2019,144116
6/1/2019,104311
7/1/2019,81777
8/1/2019,62707
9/1/2019,52546
10/1/2019,45139
11/1/2019,42643
12/1/2019,40565
1/1/2020,36585
2/1/2020,36687
3/1/2020,34460
4/1/2020,17106
5/1/2020,23237
6/1/2020,33049
7/1/2020,40929
8/1/2020,50014
9/1/2020,57674
10/1/2020,71946
11/1/2020,72111
12/1/2020,74018
1/1/2021,78442
2/1/2021,100441
